region,crop_type,fertilizer_type,fertilizer_amount
West,Carrot,Potassium,73
North,Rice,Potassium,109
East,Rice,Organic,134
West,Cabbage,Potassium,125
Central,Spinach,Nitrogen,132
West,Cabbage,Organic,93
South,Cucumber,Nitrogen,130
East,Spinach,Nitrogen,71
West,Rice,Nitrogen,127
West,Rice,Organic,121
West,Cucumber,Potassium,102
West,Sorghum,Organic,145
East,Millet,Potassium,96
North,Carrot,Nitrogen,136
Central,Tomato,Organic,133
Central,Millet,Potassium,128
North,Tomato,Phosphorus,120
Central,Sorghum,Phosphorus,91
East,Beetroot,Nitrogen,123
West,Potato,Organic,150
South,Rice,Phosphorus,78
East,Beetroot,Nitrogen,70
North,Peas,Phosphorus,127
West,Maize,Phosphorus,102
South,Onion,Phosphorus,134
East,Potato,Potassium,134
East,Sorghum,Potassium,118
North,Rice,Potassium,89
Central,Barley,Nitrogen,150
Central,Potato,Nitrogen,119
South,Spinach,Potassium,134
East,Potato,Phosphorus,148
West,Spinach,Potassium,97
South,Cucumber,Nitrogen,96
South,Millet,Organic,122
Central,Cabbage,Nitrogen,87
South,Cucumber,Nitrogen,140
West,Carrot,Potassium,73
South,Cucumber,Potassium,90
West,Barley,Phosphorus,86
South,Onion,Nitrogen,86
Central,Carrot,Potassium,124
Central,Barley,Potassium,101
South,Potato,Nitrogen,137
West,Onion,Potassium,76
South,Cucumber,Organic,122
South,Onion,Nitrogen,139
South,Cucumber,Potassium,75
East,Potato,Potassium,138
East,Peas,Potassium,144
South,Onion,Potassium,111
Central,Carrot,Potassium,136
North,Barley,Phosphorus,145
South,Rice,Potassium,91
Central,Spinach,Phosphorus,82
East,Cucumber,Nitrogen,147
North,Spinach,Phosphorus,111
South,Cabbage,Phosphorus,106
South,Tomato,Potassium,139
South,Beetroot,Organic,135
Central,Carrot,Nitrogen,95
South,Barley,Nitrogen,74
North,Millet,Potassium,93
West,Cucumber,Organic,126
South,Tomato,Organic,95
West,Tomato,Nitrogen,87
Central,Beetroot,Nitrogen,100
East,Spinach,Potassium,129
West,Cucumber,Nitrogen,84
South,Barley,Potassium,72
Central,Potato,Organic,103
North,Spinach,Nitrogen,71
East,Sorghum,Organic,111
North,Maize,Potassium,142
East,Onion,Organic,72
East,Peas,Nitrogen,97
South,Cucumber,Phosphorus,134
East,Barley,Nitrogen,145
North,Millet,Nitrogen,100
West,Maize,Nitrogen,115
Central,Beetroot,Nitrogen,89
South,Rice,Potassium,142
West,Barley,Organic,139
East,Tomato,Potassium,85
East,Barley,Organic,89
East,Barley,Phosphorus,107
East,Rice,Nitrogen,131
East,Potato,Potassium,120
West,Tomato,Nitrogen,87
East,Sorghum,Phosphorus,114
East,Cabbage,Potassium,120
North,Potato,Organic,92
West,Peas,Organic,78
South,Onion,Organic,80
West,Barley,Organic,92
South,Potato,Potassium,136
East,Barley,Organic,128
South,Rice,Potassium,100
South,Beetroot,Organic,95
East,Maize,Potassium,139
North,Maize,Phosphorus,123
West,Barley,Potassium,70
North,Onion,Organic,77
East,Carrot,Organic,136
North,Cucumber,Organic,86
Central,Tomato,Potassium,87
East,Spinach,Potassium,112
North,Sorghum,Phosphorus,101
East,Beetroot,Nitrogen,113
Central,Spinach,Organic,150
North,Maize,Nitrogen,75
South,Millet,Organic,96
Central,Potato,Organic,125
North,Tomato,Phosphorus,107
East,Millet,Phosphorus,111
East,Peas,Organic,104
Central,Cabbage,Phosphorus,84
West,Beetroot,Potassium,98
South,Tomato,Phosphorus,74
North,Spinach,Nitrogen,96
West,Maize,Nitrogen,106
East,Tomato,Nitrogen,103
North,Carrot,Phosphorus,112
Central,Cucumber,Nitrogen,79
North,Beetroot,Potassium,86
East,Tomato,Phosphorus,150
North,Spinach,Potassium,129
East,Rice,Potassium,145
Central,Rice,Nitrogen,87
North,Spinach,Organic,82
East,Spinach,Nitrogen,71
East,Rice,Phosphorus,78
South,Potato,Organic,84
East,Cabbage,Organic,142
Central,Sorghum,Potassium,84
North,Cabbage,Nitrogen,143
North,Spinach,Phosphorus,97
South,Peas,Potassium,71
East,Sorghum,Potassium,150
South,Millet,Organic,131
East,Rice,Potassium,71
Central,Beetroot,Organic,132
West,Carrot,Organic,97
Central,Tomato,Potassium,91
West,Rice,Nitrogen,139
East,Carrot,Potassium,131
North,Peas,Nitrogen,93
Central,Maize,Phosphorus,72
Central,Millet,Potassium,122
Central,Carrot,Nitrogen,122
Central,Barley,Nitrogen,70
South,Carrot,Nitrogen,100
South,Cabbage,Organic,99
East,Sorghum,Potassium,148
North,Millet,Organic,70
Central,Maize,Phosphorus,148
South,Cabbage,Potassium,80
South,Maize,Potassium,143
West,Barley,Potassium,97
Central,Spinach,Phosphorus,82
South,Maize,Potassium,80
West,Peas,Potassium,121
South,Cucumber,Organic,101
North,Peas,Organic,144
North,Potato,Potassium,119
West,Barley,Potassium,145
East,Spinach,Potassium,144
South,Tomato,Potassium,137
West,Barley,Potassium,94
East,Rice,Nitrogen,107
South,Maize,Nitrogen,131
North,Cabbage,Nitrogen,144
East,Cabbage,Organic,140
North,Peas,Nitrogen,79
Central,Sorghum,Organic,75
Central,Potato,Phosphorus,147
South,Rice,Organic,105
West,Peas,Potassium,95
East,Barley,Organic,75
South,Cabbage,Potassium,124
West,Onion,Organic,99
West,Cucumber,Phosphorus,103
East,Rice,Phosphorus,120
South,Onion,Nitrogen,96
South,Spinach,Nitrogen,118
East,Peas,Nitrogen,140
South,Rice,Phosphorus,135
West,Spinach,Organic,129
South,Carrot,Nitrogen,72
West,Beetroot,Phosphorus,97
East,Sorghum,Phosphorus,111
North,Peas,Nitrogen,125
North,Tomato,Nitrogen,139
West,Beetroot,Phosphorus,144
North,Cucumber,Potassium,77
West,Potato,Phosphorus,78
North,Rice,Potassium,108
West,Carrot,Nitrogen,137
West,Beetroot,Potassium,90
North,Carrot,Phosphorus,85
Central,Millet,Nitrogen,100
East,Onion,Nitrogen,78
South,Barley,Organic,93
West,Cucumber,Nitrogen,113
East,Potato,Organic,144
East,Sorghum,Nitrogen,80
East,Maize,Phosphorus,99
East,Sorghum,Nitrogen,113
West,Barley,Organic,130
East,Peas,Nitrogen,142
West,Peas,Phosphorus,117
East,Onion,Organic,149
West,Rice,Nitrogen,134
South,Potato,Potassium,149
South,Potato,Phosphorus,111
South,Millet,Potassium,85
South,Maize,Organic,146
South,Spinach,Potassium,130
East,Barley,Potassium,148
South,Cucumber,Nitrogen,116
East,Carrot,Organic,150
South,Barley,Phosphorus,127
South,Peas,Phosphorus,123
South,Cabbage,Potassium,89
North,Potato,Potassium,114
North,Tomato,Organic,76
North,Sorghum,Potassium,112
South,Beetroot,Potassium,125
North,Sorghum,Potassium,120
South,Cucumber,Organic,80
East,Onion,Nitrogen,85
South,Spinach,Nitrogen,134
West,Maize,Phosphorus,125
South,Carrot,Potassium,98
North,Potato,Phosphorus,74
West,Millet,Organic,91
East,Cabbage,Potassium,124
Central,Maize,Phosphorus,120
West,Beetroot,Potassium,122
East,Potato,Nitrogen,138
North,Maize,Phosphorus,106
North,Beetroot,Nitrogen,131
Central,Maize,Potassium,136
Central,Cabbage,Organic,105
North,Tomato,Potassium,99
East,Millet,Organic,92
North,Tomato,Nitrogen,136
West,Rice,Phosphorus,149
North,Barley,Phosphorus,110
West,Spinach,Phosphorus,91
South,Tomato,Potassium,150
North,Maize,Phosphorus,117
West,Carrot,Nitrogen,78
Central,Rice,Phosphorus,149
Central,Barley,Potassium,102
West,Cabbage,Organic,141
Central,Millet,Organic,133
West,Maize,Potassium,97
North,Cucumber,Organic,133
South,Potato,Organic,90
Central,Spinach,Phosphorus,108
Central,Peas,Potassium,99
West,Beetroot,Potassium,135
East,Maize,Nitrogen,123
Central,Onion,Phosphorus,88
Central,Sorghum,Nitrogen,110
Central,Millet,Organic,105
East,Sorghum,Phosphorus,129
North,Tomato,Nitrogen,124
North,Cabbage,Nitrogen,140
Central,Millet,Nitrogen,98
Central,Potato,Phosphorus,135
West,Spinach,Nitrogen,85
Central,Maize,Phosphorus,101
North,Millet,Phosphorus,127
West,Beetroot,Potassium,99
East,Onion,Phosphorus,136
North,Barley,Phosphorus,115
South,Millet,Phosphorus,148
East,Millet,Potassium,150
West,Rice,Potassium,90
East,Beetroot,Phosphorus,133
South,Peas,Organic,127
North,Peas,Organic,103
North,Beetroot,Nitrogen,72
South,Potato,Nitrogen,143
South,Cabbage,Phosphorus,150
West,Carrot,Organic,72
North,Cabbage,Nitrogen,111
East,Peas,Potassium,135
East,Barley,Potassium,93
East,Cabbage,Phosphorus,78
South,Maize,Organic,131
Central,Tomato,Potassium,124
East,Carrot,Potassium,92
North,Potato,Organic,110
North,Tomato,Nitrogen,121
Central,Peas,Organic,145
South,Onion,Phosphorus,117
Central,Millet,Organic,137
South,Millet,Organic,135
Central,Cabbage,Phosphorus,73
North,Spinach,Potassium,80
South,Maize,Nitrogen,147
East,Millet,Potassium,71
North,Cabbage,Phosphorus,113
West,Peas,Potassium,126
Central,Peas,Phosphorus,137
South,Carrot,Phosphorus,103
West,Peas,Phosphorus,121
West,Peas,Organic,102
Central,Peas,Phosphorus,146
Central,Spinach,Nitrogen,133
East,Carrot,Phosphorus,144
Central,Maize,Phosphorus,100
Central,Potato,Potassium,105
North,Cucumber,Phosphorus,147
North,Millet,Potassium,78
South,Spinach,Phosphorus,129
Central,Potato,Nitrogen,138
East,Rice,Phosphorus,114
West,Millet,Potassium,93
North,Cucumber,Organic,145
Central,Tomato,Phosphorus,97
East,Sorghum,Phosphorus,150
South,Spinach,Potassium,149
Central,Barley,Potassium,78
East,Peas,Potassium,71
Central,Cucumber,Organic,128
East,Onion,Potassium,78
South,Maize,Organic,79
Central,Peas,Phosphorus,144
South,Beetroot,Nitrogen,147
East,Cucumber,Phosphorus,71
Central,Carrot,Phosphorus,107
Central,Beetroot,Nitrogen,150
West,Millet,Potassium,137
North,Beetroot,Phosphorus,95
North,Cabbage,Potassium,109
West,Cabbage,Nitrogen,138
South,Onion,Potassium,98
South,Tomato,Nitrogen,119
South,Tomato,Nitrogen,101
East,Tomato,Organic,95
West,Barley,Nitrogen,102
East,Onion,Potassium,120
East,Millet,Nitrogen,86
West,Beetroot,Potassium,98
North,Millet,Nitrogen,140
South,Peas,Nitrogen,101
North,Barley,Nitrogen,125
North,Cucumber,Nitrogen,125
Central,Millet,Nitrogen,125
South,Cucumber,Organic,116
South,Potato,Potassium,114
North,Rice,Organic,76
North,Maize,Organic,107
East,Cabbage,Potassium,117
South,Cucumber,Phosphorus,94
Central,Cabbage,Organic,146
East,Onion,Potassium,129
South,Millet,Nitrogen,110
East,Barley,Organic,73
Central,Potato,Nitrogen,122
Central,Onion,Organic,89
South,Beetroot,Potassium,127
South,Millet,Nitrogen,89
East,Cucumber,Organic,99
East,Barley,Phosphorus,86
South,Peas,Organic,79
Central,Maize,Phosphorus,129
West,Barley,Organic,145
South,Cucumber,Potassium,144
North,Cucumber,Phosphorus,96
West,Rice,Nitrogen,123
North,Spinach,Potassium,133
North,Cucumber,Phosphorus,122
North,Spinach,Potassium,105
South,Peas,Nitrogen,150
South,Cucumber,Phosphorus,150
North,Tomato,Phosphorus,100
West,Beetroot,Potassium,142
Central,Tomato,Potassium,93
Central,Cabbage,Phosphorus,141
East,Beetroot,Organic,84
East,Cabbage,Potassium,94
East,Cabbage,Potassium,81
Central,Rice,Organic,103
North,Barley,Phosphorus,93
North,Spinach,Nitrogen,138
East,Carrot,Organic,117
East,Beetroot,Organic,130
Central,Peas,Nitrogen,92
Central,Cabbage,Nitrogen,97
East,Rice,Nitrogen,140
South,Barley,Potassium,95
Central,Tomato,Organic,140
Central,Carrot,Organic,124
Central,Beetroot,Nitrogen,132
North,Spinach,Organic,141
South,Sorghum,Nitrogen,138
West,Cabbage,Nitrogen,136
South,Peas,Organic,115
Central,Millet,Nitrogen,97
Central,Barley,Organic,118
East,Tomato,Phosphorus,128
Central,Tomato,Nitrogen,78
Central,Barley,Potassium,138
West,Carrot,Nitrogen,91
East,Maize,Nitrogen,75
West,Barley,Organic,71
East,Sorghum,Potassium,134
Central,Cabbage,Potassium,144
South,Rice,Organic,106
West,Millet,Nitrogen,90
South,Millet,Phosphorus,91
North,Peas,Nitrogen,89
South,Millet,Organic,135
South,Millet,Phosphorus,148
South,Rice,Nitrogen,109
South,Cucumber,Nitrogen,88
West,Carrot,Organic,95
Central,Barley,Organic,98
North,Potato,Nitrogen,131
East,Sorghum,Phosphorus,80
East,Cabbage,Organic,71
East,Peas,Phosphorus,94
South,Barley,Potassium,117
North,Barley,Potassium,120
West,Spinach,Potassium,94
East,Cabbage,Potassium,81
West,Maize,Potassium,96
West,Tomato,Phosphorus,92
Central,Peas,Nitrogen,101
South,Millet,Nitrogen,142
West,Spinach,Nitrogen,128
South,Rice,Potassium,93
North,Rice,Phosphorus,147
West,Onion,Nitrogen,122
West,Onion,Phosphorus,135
Central,Cabbage,Potassium,113
West,Barley,Nitrogen,128
North,Millet,Phosphorus,84
Central,Potato,Potassium,98
North,Millet,Organic,87
West,Onion,Phosphorus,87
Central,Rice,Organic,120
North,Maize,Phosphorus,93
North,Barley,Phosphorus,147
North,Beetroot,Potassium,148
East,Carrot,Organic,97
South,Sorghum,Nitrogen,113
Central,Maize,Phosphorus,71
East,Sorghum,Phosphorus,102
West,Maize,Phosphorus,115
West,Cucumber,Potassium,138
Central,Potato,Phosphorus,148
Central,Cabbage,Potassium,102
East,Sorghum,Organic,90
West,Carrot,Phosphorus,136
West,Millet,Nitrogen,72
West,Rice,Potassium,110
Central,Cabbage,Phosphorus,90
South,Tomato,Phosphorus,94
South,Peas,Phosphorus,127
North,Peas,Organic,123
South,Onion,Organic,72
South,Sorghum,Phosphorus,110
East,Sorghum,Potassium,144
Central,Sorghum,Organic,130
North,Onion,Organic,113
Central,Millet,Phosphorus,145
West,Millet,Phosphorus,96
South,Cucumber,Phosphorus,91
South,Peas,Potassium,91
West,Spinach,Potassium,142
East,Potato,Potassium,100
North,Beetroot,Nitrogen,133
East,Peas,Nitrogen,110
West,Beetroot,Nitrogen,84
North,Beetroot,Phosphorus,123
Central,Cabbage,Nitrogen,127
North,Beetroot,Phosphorus,141
South,Tomato,Organic,105
South,Rice,Phosphorus,75
South,Tomato,Nitrogen,79
Central,Carrot,Potassium,136
North,Onion,Potassium,100
South,Millet,Phosphorus,145
North,Maize,Organic,134
Central,Spinach,Organic,103
South,Maize,Organic,98
South,Maize,Potassium,78
East,Sorghum,Potassium,128
West,Potato,Organic,142
Central,Barley,Phosphorus,124
East,Cabbage,Potassium,72
West,Beetroot,Potassium,107
South,Barley,Organic,126
South,Cucumber,Potassium,93
North,Spinach,Phosphorus,92
North,Maize,Potassium,71
East,Cabbage,Organic,149
East,Carrot,Organic,72
North,Spinach,Potassium,71
East,Carrot,Phosphorus,75
West,Barley,Potassium,100
East,Onion,Phosphorus,132
West,Cucumber,Nitrogen,119
South,Millet,Organic,78
South,Onion,Nitrogen,91
North,Rice,Potassium,144
North,Maize,Nitrogen,135
South,Tomato,Potassium,143
West,Sorghum,Organic,73
Central,Cabbage,Organic,89
North,Carrot,Potassium,136
West,Sorghum,Phosphorus,142
Central,Onion,Nitrogen,70
Central,Millet,Nitrogen,135
West,Rice,Organic,79
Central,Cucumber,Organic,101
South,Millet,Potassium,73
Central,Potato,Organic,105
West,Potato,Phosphorus,137
West,Carrot,Organic,101
East,Cabbage,Organic,109
South,Sorghum,Organic,141
East,Cabbage,Organic,128
South,Potato,Organic,133
Central,Beetroot,Potassium,101
Central,Onion,Nitrogen,147
South,Beetroot,Phosphorus,130
South,Beetroot,Organic,131
Central,Carrot,Nitrogen,91
West,Onion,Potassium,73
West,Potato,Potassium,129
West,Maize,Potassium,82
Central,Sorghum,Phosphorus,136
South,Carrot,Potassium,84
East,Maize,Organic,113
North,Beetroot,Organic,139
West,Rice,Phosphorus,131
West,Carrot,Potassium,76
West,Spinach,Nitrogen,124
Central,Sorghum,Organic,89
South,Cabbage,Phosphorus,91
West,Cabbage,Phosphorus,144
Central,Carrot,Nitrogen,119
West,Tomato,Organic,76
North,Tomato,Nitrogen,100
South,Cucumber,Phosphorus,137
West,Barley,Nitrogen,107
East,Tomato,Organic,143
North,Maize,Phosphorus,74
Central,Potato,Organic,140
South,Cucumber,Phosphorus,141
South,Millet,Phosphorus,133
South,Cabbage,Potassium,96
Central,Peas,Nitrogen,131
South,Carrot,Organic,96
North,Rice,Organic,88
West,Rice,Organic,90
East,Onion,Potassium,73
South,Peas,Phosphorus,126
Central,Potato,Nitrogen,109
South,Onion,Potassium,104
South,Sorghum,Potassium,106
North,Maize,Nitrogen,88
East,Cucumber,Organic,130
West,Cabbage,Organic,139
West,Beetroot,Nitrogen,87
West,Barley,Nitrogen,106
West,Potato,Organic,75
South,Cucumber,Nitrogen,138
West,Cucumber,Nitrogen,90
South,Cucumber,Potassium,150
West,Spinach,Phosphorus,84
North,Millet,Phosphorus,129
East,Peas,Potassium,80
East,Sorghum,Potassium,147
Central,Tomato,Organic,96
West,Rice,Phosphorus,99
West,Tomato,Nitrogen,147
East,Maize,Organic,142
North,Peas,Phosphorus,137
East,Tomato,Nitrogen,122
North,Barley,Nitrogen,144
East,Cucumber,Nitrogen,140
East,Beetroot,Phosphorus,115
Central,Sorghum,Phosphorus,123
South,Onion,Potassium,75
West,Cabbage,Nitrogen,79
North,Beetroot,Potassium,137
North,Barley,Phosphorus,100
North,Maize,Phosphorus,74
South,Millet,Nitrogen,120
South,Tomato,Nitrogen,132
West,Sorghum,Phosphorus,107
West,Onion,Phosphorus,76
North,Millet,Nitrogen,77
West,Maize,Phosphorus,126
West,Rice,Organic,109
East,Rice,Nitrogen,109
North,Maize,Organic,88
West,Barley,Nitrogen,82
North,Millet,Phosphorus,141
Central,Tomato,Nitrogen,71
Central,Peas,Organic,104
West,Rice,Potassium,124
South,Sorghum,Organic,83
East,Cucumber,Nitrogen,131
West,Onion,Nitrogen,126
South,Cucumber,Potassium,110
Central,Maize,Phosphorus,96
South,Tomato,Phosphorus,103
North,Potato,Phosphorus,125
East,Millet,Organic,84
East,Tomato,Potassium,99
North,Maize,Nitrogen,101
West,Cabbage,Potassium,125
Central,Tomato,Organic,102
West,Carrot,Potassium,93
West,Spinach,Nitrogen,143
North,Barley,Phosphorus,79
West,Tomato,Organic,126
Central,Beetroot,Phosphorus,109
West,Cucumber,Nitrogen,75
Central,Maize,Organic,118
East,Sorghum,Phosphorus,87
East,Tomato,Nitrogen,75
North,Sorghum,Nitrogen,102
Central,Spinach,Potassium,98
Central,Sorghum,Nitrogen,133
South,Onion,Phosphorus,113
West,Carrot,Phosphorus,139
Central,Beetroot,Potassium,136
West,Millet,Potassium,119
South,Beetroot,Phosphorus,89
West,Cucumber,Potassium,77
North,Rice,Nitrogen,91
South,Beetroot,Organic,101
East,Rice,Nitrogen,134
Central,Maize,Phosphorus,105
North,Sorghum,Potassium,99
East,Rice,Phosphorus,77
North,Peas,Phosphorus,122
East,Peas,Potassium,111
Central,Barley,Organic,118
South,Beetroot,Nitrogen,121
West,Maize,Nitrogen,147
East,Beetroot,Organic,133
North,Tomato,Organic,75
South,Carrot,Organic,121
East,Peas,Potassium,135
East,Potato,Potassium,102
North,Beetroot,Organic,144
West,Maize,Nitrogen,132
East,Peas,Organic,86
West,Onion,Potassium,135
East,Beetroot,Phosphorus,98
South,Spinach,Phosphorus,97
North,Sorghum,Potassium,86
East,Carrot,Potassium,142
South,Barley,Phosphorus,125
West,Maize,Organic,88
Central,Rice,Potassium,96
South,Millet,Phosphorus,147
West,Peas,Potassium,76
South,Maize,Phosphorus,148
West,Peas,Phosphorus,78
South,Cabbage,Organic,137
West,Rice,Organic,111
East,Millet,Phosphorus,118
Central,Peas,Potassium,95
West,Millet,Phosphorus,72
West,Barley,Potassium,92
East,Onion,Potassium,136
South,Sorghum,Nitrogen,101
West,Cucumber,Organic,147
Central,Millet,Organic,110
South,Sorghum,Potassium,84
South,Maize,Phosphorus,113
South,Potato,Potassium,123
Central,Barley,Potassium,144
North,Millet,Phosphorus,91
South,Potato,Phosphorus,134
North,Peas,Potassium,146
North,Maize,Organic,94
South,Beetroot,Phosphorus,87
West,Rice,Organic,71
Central,Tomato,Nitrogen,105
South,Potato,Phosphorus,90
South,Spinach,Nitrogen,131
South,Barley,Organic,141
North,Cabbage,Nitrogen,122
East,Maize,Organic,146
East,Cucumber,Nitrogen,120
North,Spinach,Potassium,142
Central,Sorghum,Phosphorus,136
North,Maize,Phosphorus,73
Central,Rice,Nitrogen,74
South,Potato,Potassium,125
South,Peas,Phosphorus,141
West,Barley,Phosphorus,104
West,Barley,Phosphorus,94
East,Potato,Nitrogen,76
Central,Cabbage,Organic,145
Central,Beetroot,Organic,115
Central,Beetroot,Phosphorus,131
Central,Tomato,Phosphorus,140
North,Cucumber,Organic,79
West,Tomato,Organic,83
West,Barley,Potassium,91
North,Potato,Nitrogen,149
North,Sorghum,Organic,144
Central,Potato,Organic,131
North,Maize,Nitrogen,70
East,Beetroot,Phosphorus,90
South,Potato,Phosphorus,129
North,Carrot,Potassium,78
North,Tomato,Nitrogen,79
North,Cabbage,Organic,143
South,Rice,Nitrogen,111
North,Cucumber,Phosphorus,136
West,Carrot,Potassium,86
North,Cucumber,Potassium,123
North,Maize,Phosphorus,74
East,Onion,Phosphorus,114
Central,Potato,Phosphorus,148
West,Potato,Phosphorus,74
Central,Maize,Potassium,102
North,Cabbage,Organic,111
East,Rice,Potassium,90
Central,Cucumber,Phosphorus,106
Central,Onion,Phosphorus,121
Central,Millet,Nitrogen,87
East,Tomato,Nitrogen,140
East,Spinach,Nitrogen,81
South,Carrot,Organic,123
East,Millet,Organic,98
West,Beetroot,Potassium,89
West,Sorghum,Phosphorus,79
South,Maize,Organic,114
Central,Carrot,Potassium,93
Central,Cucumber,Organic,75
North,Onion,Organic,107
East,Sorghum,Phosphorus,114
North,Tomato,Organic,131
West,Tomato,Potassium,128
