region,crop_type,fertilizer_type,fertilizer_amount
North,Cucumber,Organic,94
West,Beetroot,Nitrogen,73
West,Spinach,Phosphorus,103
Central,Potato,Nitrogen,150
West,Potato,Nitrogen,75
West,Barley,Nitrogen,149
North,Potato,Phosphorus,84
West,Spinach,Potassium,138
South,Onion,Organic,75
South,Millet,Organic,144
East,Millet,Phosphorus,70
South,Millet,Organic,90
West,Rice,Nitrogen,84
South,Potato,Phosphorus,87
North,Spinach,Nitrogen,126
West,Carrot,Potassium,96
East,Spinach,Potassium,113
North,Rice,Organic,82
Central,Millet,Organic,82
Central,Rice,Potassium,82
North,Maize,Nitrogen,89
South,Cabbage,Phosphorus,70
Central,Tomato,Potassium,116
East,Rice,Potassium,138
West,Cabbage,Phosphorus,97
Central,Carrot,Potassium,82
West,Carrot,Phosphorus,70
South,Cabbage,Potassium,148
West,Onion,Phosphorus,133
Central,Barley,Potassium,88
North,Rice,Nitrogen,71
South,Beetroot,Phosphorus,94
Central,Tomato,Organic,129
Central,Rice,Potassium,135
Central,Potato,Organic,114
East,Beetroot,Potassium,150
East,Sorghum,Potassium,109
South,Rice,Potassium,70
West,Cucumber,Potassium,92
North,Maize,Nitrogen,150
West,Beetroot,Organic,106
Central,Carrot,Organic,94
Central,Maize,Organic,95
Central,Cabbage,Phosphorus,124
North,Onion,Organic,108
West,Millet,Phosphorus,108
West,Rice,Potassium,125
South,Beetroot,Nitrogen,76
Central,Tomato,Organic,82
South,Sorghum,Phosphorus,118
South,Carrot,Organic,140
South,Tomato,Potassium,101
North,Peas,Phosphorus,139
East,Cucumber,Phosphorus,100
North,Beetroot,Potassium,119
South,Carrot,Nitrogen,115
Central,Beetroot,Phosphorus,133
Central,Barley,Phosphorus,150
East,Maize,Nitrogen,117
West,Rice,Potassium,80
East,Cabbage,Phosphorus,105
West,Maize,Potassium,98
North,Sorghum,Organic,123
North,Rice,Potassium,129
Central,Maize,Potassium,81
North,Barley,Phosphorus,134
West,Barley,Nitrogen,131
South,Barley,Potassium,141
North,Tomato,Nitrogen,75
West,Rice,Organic,92
Central,Peas,Organic,139
Central,Peas,Phosphorus,111
Central,Barley,Nitrogen,150
Central,Spinach,Phosphorus,146
North,Maize,Nitrogen,121
North,Rice,Potassium,102
East,Millet,Organic,107
Central,Millet,Potassium,124
East,Cabbage,Organic,92
East,Cabbage,Organic,129
North,Millet,Potassium,74
Central,Sorghum,Organic,74
South,Cucumber,Organic,88
Central,Carrot,Organic,129
East,Tomato,Nitrogen,74
East,Millet,Phosphorus,125
South,Barley,Nitrogen,122
West,Beetroot,Nitrogen,74
South,Peas,Organic,128
Central,Sorghum,Phosphorus,117
Central,Cabbage,Potassium,142
Central,Beetroot,Phosphorus,150
East,Barley,Organic,148
South,Millet,Potassium,127
South,Maize,Phosphorus,123
North,Spinach,Potassium,146
North,Cabbage,Organic,105
Central,Maize,Phosphorus,84
West,Sorghum,Phosphorus,144
West,Maize,Nitrogen,131
West,Millet,Potassium,144
North,Millet,Organic,71
South,Millet,Potassium,145
North,Peas,Phosphorus,83
East,Cucumber,Phosphorus,118
South,Onion,Organic,118
South,Cabbage,Nitrogen,85
South,Rice,Organic,70
Central,Onion,Nitrogen,78
East,Rice,Phosphorus,83
North,Maize,Phosphorus,137
West,Beetroot,Potassium,142
North,Spinach,Phosphorus,76
West,Beetroot,Organic,121
West,Cucumber,Organic,137
Central,Millet,Nitrogen,111
North,Peas,Organic,128
North,Onion,Potassium,111
South,Cucumber,Potassium,112
West,Barley,Organic,106
East,Millet,Organic,122
North,Sorghum,Nitrogen,98
West,Cucumber,Organic,93
West,Sorghum,Phosphorus,149
Central,Potato,Phosphorus,148
North,Cabbage,Nitrogen,77
East,Spinach,Phosphorus,110
South,Rice,Organic,147
Central,Maize,Phosphorus,100
North,Maize,Phosphorus,128
North,Rice,Organic,136
South,Spinach,Phosphorus,99
South,Sorghum,Phosphorus,102
West,Barley,Phosphorus,76
Central,Barley,Potassium,149
Central,Cabbage,Potassium,114
South,Spinach,Nitrogen,72
Central,Tomato,Organic,104
South,Onion,Nitrogen,92
East,Rice,Nitrogen,130
North,Millet,Nitrogen,85
Central,Barley,Phosphorus,70
South,Maize,Nitrogen,101
South,Rice,Organic,93
West,Barley,Nitrogen,112
East,Carrot,Nitrogen,150
East,Peas,Phosphorus,70
North,Beetroot,Nitrogen,119
Central,Beetroot,Phosphorus,95
West,Peas,Potassium,86
South,Cucumber,Potassium,90
South,Peas,Potassium,134
East,Beetroot,Organic,84
North,Sorghum,Phosphorus,147
Central,Sorghum,Nitrogen,124
West,Maize,Potassium,99
South,Spinach,Organic,87
West,Cabbage,Potassium,128
South,Carrot,Potassium,79
West,Beetroot,Potassium,97
South,Onion,Phosphorus,79
North,Maize,Organic,126
South,Beetroot,Nitrogen,131
West,Cabbage,Potassium,117
West,Tomato,Potassium,77
South,Millet,Organic,145
West,Cabbage,Nitrogen,73
East,Sorghum,Nitrogen,132
South,Tomato,Potassium,89
South,Barley,Organic,146
Central,Tomato,Potassium,133
West,Beetroot,Organic,131
West,Maize,Phosphorus,84
West,Rice,Phosphorus,125
Central,Cucumber,Potassium,129
East,Rice,Nitrogen,89
Central,Cabbage,Phosphorus,100
East,Spinach,Phosphorus,116
West,Onion,Organic,101
South,Tomato,Phosphorus,135
North,Potato,Phosphorus,105
East,Onion,Organic,92
West,Millet,Potassium,90
North,Potato,Potassium,121
South,Spinach,Phosphorus,149
South,Tomato,Organic,111
South,Sorghum,Nitrogen,137
South,Onion,Potassium,140
Central,Sorghum,Nitrogen,135
East,Tomato,Phosphorus,110
West,Potato,Organic,80
South,Cabbage,Phosphorus,142
East,Beetroot,Potassium,145
East,Spinach,Phosphorus,132
West,Maize,Phosphorus,137
Central,Maize,Phosphorus,76
Central,Millet,Potassium,82
Central,Carrot,Potassium,127
West,Tomato,Phosphorus,111
North,Potato,Potassium,84
East,Sorghum,Potassium,146
South,Tomato,Organic,106
East,Carrot,Phosphorus,132
North,Millet,Phosphorus,76
East,Tomato,Nitrogen,123
South,Carrot,Nitrogen,82
North,Barley,Potassium,83
West,Rice,Nitrogen,71
North,Peas,Potassium,87
Central,Cucumber,Potassium,89
West,Barley,Phosphorus,135
South,Millet,Nitrogen,92
East,Millet,Nitrogen,142
East,Potato,Potassium,111
South,Tomato,Potassium,85
North,Onion,Organic,142
Central,Onion,Organic,101
Central,Carrot,Nitrogen,136
South,Barley,Nitrogen,131
West,Rice,Organic,107
South,Rice,Nitrogen,145
East,Carrot,Potassium,117
West,Onion,Phosphorus,113
Central,Maize,Organic,89
West,Onion,Nitrogen,101
South,Barley,Potassium,76
Central,Sorghum,Phosphorus,73
West,Cucumber,Organic,71
South,Carrot,Nitrogen,110
Central,Carrot,Phosphorus,93
West,Millet,Potassium,147
West,Rice,Nitrogen,80
West,Beetroot,Organic,114
North,Carrot,Potassium,92
North,Peas,Organic,150
North,Beetroot,Phosphorus,106
North,Cucumber,Potassium,133
Central,Rice,Organic,75
South,Beetroot,Nitrogen,128
Central,Cabbage,Nitrogen,108
East,Peas,Nitrogen,130
East,Barley,Nitrogen,134
West,Sorghum,Potassium,148
South,Rice,Organic,113
South,Cabbage,Organic,127
East,Cabbage,Organic,101
East,Tomato,Phosphorus,82
Central,Onion,Organic,126
South,Peas,Nitrogen,77
Central,Millet,Organic,77
West,Carrot,Potassium,73
North,Rice,Potassium,109
East,Rice,Organic,134
West,Cabbage,Potassium,125
Central,Spinach,Nitrogen,132
West,Cabbage,Organic,93
South,Cucumber,Nitrogen,130
East,Spinach,Nitrogen,71
West,Rice,Nitrogen,127
West,Rice,Organic,121
West,Cucumber,Potassium,102
West,Sorghum,Organic,145
East,Millet,Potassium,96
North,Carrot,Nitrogen,136
Central,Tomato,Organic,133
Central,Millet,Potassium,128
North,Tomato,Phosphorus,120
Central,Sorghum,Phosphorus,91
East,Beetroot,Nitrogen,123
West,Potato,Organic,150
South,Rice,Phosphorus,78
East,Beetroot,Nitrogen,70
North,Peas,Phosphorus,127
West,Maize,Phosphorus,102
South,Onion,Phosphorus,134
East,Potato,Potassium,134
East,Sorghum,Potassium,118
North,Rice,Potassium,89
Central,Barley,Nitrogen,150
Central,Potato,Nitrogen,119
South,Spinach,Potassium,134
East,Potato,Phosphorus,148
West,Spinach,Potassium,97
South,Cucumber,Nitrogen,96
South,Millet,Organic,122
Central,Cabbage,Nitrogen,87
South,Cucumber,Nitrogen,140
West,Carrot,Potassium,73
South,Cucumber,Potassium,90
West,Barley,Phosphorus,86
South,Onion,Nitrogen,86
Central,Carrot,Potassium,124
Central,Barley,Potassium,101
South,Potato,Nitrogen,137
West,Onion,Potassium,76
South,Cucumber,Organic,122
South,Onion,Nitrogen,139
South,Cucumber,Potassium,75
East,Potato,Potassium,138
East,Peas,Potassium,144
South,Onion,Potassium,111
Central,Carrot,Potassium,136
North,Barley,Phosphorus,145
South,Rice,Potassium,91
Central,Spinach,Phosphorus,82
East,Cucumber,Nitrogen,147
North,Spinach,Phosphorus,111
South,Cabbage,Phosphorus,106
South,Tomato,Potassium,139
South,Beetroot,Organic,135
Central,Carrot,Nitrogen,95
South,Barley,Nitrogen,74
North,Millet,Potassium,93
West,Cucumber,Organic,126
South,Tomato,Organic,95
West,Tomato,Nitrogen,87
Central,Beetroot,Nitrogen,100
East,Spinach,Potassium,129
West,Cucumber,Nitrogen,84
South,Barley,Potassium,72
Central,Potato,Organic,103
North,Spinach,Nitrogen,71
East,Sorghum,Organic,111
North,Maize,Potassium,142
East,Onion,Organic,72
East,Peas,Nitrogen,97
South,Cucumber,Phosphorus,134
East,Barley,Nitrogen,145
North,Millet,Nitrogen,100
West,Maize,Nitrogen,115
Central,Beetroot,Nitrogen,89
South,Rice,Potassium,142
West,Barley,Organic,139
East,Tomato,Potassium,85
East,Barley,Organic,89
East,Barley,Phosphorus,107
East,Rice,Nitrogen,131
East,Potato,Potassium,120
West,Tomato,Nitrogen,87
East,Sorghum,Phosphorus,114
East,Cabbage,Potassium,120
North,Potato,Organic,92
West,Peas,Organic,78
South,Onion,Organic,80
West,Barley,Organic,92
South,Potato,Potassium,136
East,Barley,Organic,128
South,Rice,Potassium,100
South,Beetroot,Organic,95
East,Maize,Potassium,139
North,Maize,Phosphorus,123
West,Barley,Potassium,70
North,Onion,Organic,77
East,Carrot,Organic,136
North,Cucumber,Organic,86
Central,Tomato,Potassium,87
East,Spinach,Potassium,112
North,Sorghum,Phosphorus,101
East,Beetroot,Nitrogen,113
Central,Spinach,Organic,150
North,Maize,Nitrogen,75
South,Millet,Organic,96
Central,Potato,Organic,125
North,Tomato,Phosphorus,107
East,Millet,Phosphorus,111
East,Peas,Organic,104
Central,Cabbage,Phosphorus,84
West,Beetroot,Potassium,98
South,Tomato,Phosphorus,74
North,Spinach,Nitrogen,96
West,Maize,Nitrogen,106
East,Tomato,Nitrogen,103
North,Carrot,Phosphorus,112
Central,Cucumber,Nitrogen,79
North,Beetroot,Potassium,86
East,Tomato,Phosphorus,150
North,Spinach,Potassium,129
East,Rice,Potassium,145
Central,Rice,Nitrogen,87
North,Spinach,Organic,82
East,Spinach,Nitrogen,71
East,Rice,Phosphorus,78
South,Potato,Organic,84
East,Cabbage,Organic,142
Central,Sorghum,Potassium,84
North,Cabbage,Nitrogen,143
North,Spinach,Phosphorus,97
South,Peas,Potassium,71
East,Sorghum,Potassium,150
South,Millet,Organic,131
East,Rice,Potassium,71
Central,Beetroot,Organic,132
West,Carrot,Organic,97
Central,Tomato,Potassium,91
West,Rice,Nitrogen,139
East,Carrot,Potassium,131
North,Peas,Nitrogen,93
Central,Maize,Phosphorus,72
Central,Millet,Potassium,122
Central,Carrot,Nitrogen,122
Central,Barley,Nitrogen,70
South,Carrot,Nitrogen,100
South,Cabbage,Organic,99
East,Sorghum,Potassium,148
North,Millet,Organic,70
Central,Maize,Phosphorus,148
South,Cabbage,Potassium,80
South,Maize,Potassium,143
West,Barley,Potassium,97
Central,Spinach,Phosphorus,82
South,Maize,Potassium,80
West,Peas,Potassium,121
South,Cucumber,Organic,101
North,Peas,Organic,144
North,Potato,Potassium,119
West,Barley,Potassium,145
East,Spinach,Potassium,144
South,Tomato,Potassium,137
West,Barley,Potassium,94
East,Rice,Nitrogen,107
South,Maize,Nitrogen,131
North,Cabbage,Nitrogen,144
East,Cabbage,Organic,140
North,Peas,Nitrogen,79
Central,Sorghum,Organic,75
Central,Potato,Phosphorus,147
South,Rice,Organic,105
West,Peas,Potassium,95
East,Barley,Organic,75
South,Cabbage,Potassium,124
West,Onion,Organic,99
West,Cucumber,Phosphorus,103
East,Rice,Phosphorus,120
South,Onion,Nitrogen,96
South,Spinach,Nitrogen,118
East,Peas,Nitrogen,140
South,Rice,Phosphorus,135
West,Spinach,Organic,129
South,Carrot,Nitrogen,72
West,Beetroot,Phosphorus,97
East,Sorghum,Phosphorus,111
North,Peas,Nitrogen,125
North,Tomato,Nitrogen,139
West,Beetroot,Phosphorus,144
North,Cucumber,Potassium,77
West,Potato,Phosphorus,78
North,Rice,Potassium,108
West,Carrot,Nitrogen,137
West,Beetroot,Potassium,90
North,Carrot,Phosphorus,85
Central,Millet,Nitrogen,100
East,Onion,Nitrogen,78
South,Barley,Organic,93
West,Cucumber,Nitrogen,113
East,Potato,Organic,144
East,Sorghum,Nitrogen,80
East,Maize,Phosphorus,99
East,Sorghum,Nitrogen,113
West,Barley,Organic,130
East,Peas,Nitrogen,142
West,Peas,Phosphorus,117
East,Onion,Organic,149
West,Rice,Nitrogen,134
South,Potato,Potassium,149
South,Potato,Phosphorus,111
South,Millet,Potassium,85
South,Maize,Organic,146
South,Spinach,Potassium,130
East,Barley,Potassium,148
South,Cucumber,Nitrogen,116
East,Carrot,Organic,150
South,Barley,Phosphorus,127
South,Peas,Phosphorus,123
South,Cabbage,Potassium,89
North,Potato,Potassium,114
North,Tomato,Organic,76
North,Sorghum,Potassium,112
South,Beetroot,Potassium,125
North,Sorghum,Potassium,120
South,Cucumber,Organic,80
East,Onion,Nitrogen,85
South,Spinach,Nitrogen,134
West,Maize,Phosphorus,125
South,Carrot,Potassium,98
North,Potato,Phosphorus,74
West,Millet,Organic,91
East,Cabbage,Potassium,124
Central,Maize,Phosphorus,120
West,Beetroot,Potassium,122
East,Potato,Nitrogen,138
North,Maize,Phosphorus,106
North,Beetroot,Nitrogen,131
Central,Maize,Potassium,136
Central,Cabbage,Organic,105
North,Tomato,Potassium,99
East,Millet,Organic,92
North,Tomato,Nitrogen,136
West,Rice,Phosphorus,149
North,Barley,Phosphorus,110
West,Spinach,Phosphorus,91
South,Tomato,Potassium,150
North,Maize,Phosphorus,117
West,Carrot,Nitrogen,78
Central,Rice,Phosphorus,149
Central,Barley,Potassium,102
West,Cabbage,Organic,141
Central,Millet,Organic,133
West,Maize,Potassium,97
North,Cucumber,Organic,133
South,Potato,Organic,90
Central,Spinach,Phosphorus,108
Central,Peas,Potassium,99
West,Beetroot,Potassium,135
East,Maize,Nitrogen,123
Central,Onion,Phosphorus,88
Central,Sorghum,Nitrogen,110
Central,Millet,Organic,105
East,Sorghum,Phosphorus,129
North,Tomato,Nitrogen,124
North,Cabbage,Nitrogen,140
Central,Millet,Nitrogen,98
Central,Potato,Phosphorus,135
West,Spinach,Nitrogen,85
Central,Maize,Phosphorus,101
North,Millet,Phosphorus,127
West,Beetroot,Potassium,99
East,Onion,Phosphorus,136
North,Barley,Phosphorus,115
South,Millet,Phosphorus,148
East,Millet,Potassium,150
West,Rice,Potassium,90
East,Beetroot,Phosphorus,133
South,Peas,Organic,127
North,Peas,Organic,103
North,Beetroot,Nitrogen,72
South,Potato,Nitrogen,143
South,Cabbage,Phosphorus,150
West,Carrot,Organic,72
North,Cabbage,Nitrogen,111
East,Peas,Potassium,135
East,Barley,Potassium,93
East,Cabbage,Phosphorus,78
South,Maize,Organic,131
Central,Tomato,Potassium,124
East,Carrot,Potassium,92
North,Potato,Organic,110
North,Tomato,Nitrogen,121
Central,Peas,Organic,145
South,Onion,Phosphorus,117
Central,Millet,Organic,137
South,Millet,Organic,135
Central,Cabbage,Phosphorus,73
North,Spinach,Potassium,80
South,Maize,Nitrogen,147
East,Millet,Potassium,71
North,Cabbage,Phosphorus,113
West,Peas,Potassium,126
Central,Peas,Phosphorus,137
South,Carrot,Phosphorus,103
West,Peas,Phosphorus,121
West,Peas,Organic,102
Central,Peas,Phosphorus,146
Central,Spinach,Nitrogen,133
East,Carrot,Phosphorus,144
Central,Maize,Phosphorus,100
Central,Potato,Potassium,105
North,Cucumber,Phosphorus,147
North,Millet,Potassium,78
South,Spinach,Phosphorus,129
Central,Potato,Nitrogen,138
East,Rice,Phosphorus,114
West,Millet,Potassium,93
North,Cucumber,Organic,145
Central,Tomato,Phosphorus,97
East,Sorghum,Phosphorus,150
South,Spinach,Potassium,149
Central,Barley,Potassium,78
East,Peas,Potassium,71
Central,Cucumber,Organic,128
East,Onion,Potassium,78
South,Maize,Organic,79
Central,Peas,Phosphorus,144
South,Beetroot,Nitrogen,147
East,Cucumber,Phosphorus,71
Central,Carrot,Phosphorus,107
Central,Beetroot,Nitrogen,150
West,Millet,Potassium,137
North,Beetroot,Phosphorus,95
North,Cabbage,Potassium,109
West,Cabbage,Nitrogen,138
South,Onion,Potassium,98
South,Tomato,Nitrogen,119
South,Tomato,Nitrogen,101
East,Tomato,Organic,95
West,Barley,Nitrogen,102
East,Onion,Potassium,120
East,Millet,Nitrogen,86
West,Beetroot,Potassium,98
North,Millet,Nitrogen,140
South,Peas,Nitrogen,101
North,Barley,Nitrogen,125
North,Cucumber,Nitrogen,125
Central,Millet,Nitrogen,125
South,Cucumber,Organic,116
South,Potato,Potassium,114
North,Rice,Organic,76
North,Maize,Organic,107
East,Cabbage,Potassium,117
South,Cucumber,Phosphorus,94
Central,Cabbage,Organic,146
East,Onion,Potassium,129
South,Millet,Nitrogen,110
East,Barley,Organic,73
Central,Potato,Nitrogen,122
Central,Onion,Organic,89
South,Beetroot,Potassium,127
South,Millet,Nitrogen,89
East,Cucumber,Organic,99
East,Barley,Phosphorus,86
South,Peas,Organic,79
Central,Maize,Phosphorus,129
West,Barley,Organic,145
South,Cucumber,Potassium,144
North,Cucumber,Phosphorus,96
West,Rice,Nitrogen,123
North,Spinach,Potassium,133
North,Cucumber,Phosphorus,122
North,Spinach,Potassium,105
South,Peas,Nitrogen,150
South,Cucumber,Phosphorus,150
North,Tomato,Phosphorus,100
West,Beetroot,Potassium,142
Central,Tomato,Potassium,93
Central,Cabbage,Phosphorus,141
East,Beetroot,Organic,84
East,Cabbage,Potassium,94
East,Cabbage,Potassium,81
Central,Rice,Organic,103
North,Barley,Phosphorus,93
North,Spinach,Nitrogen,138
East,Carrot,Organic,117
East,Beetroot,Organic,130
Central,Peas,Nitrogen,92
Central,Cabbage,Nitrogen,97
East,Rice,Nitrogen,140
South,Barley,Potassium,95
Central,Tomato,Organic,140
Central,Carrot,Organic,124
Central,Beetroot,Nitrogen,132
North,Spinach,Organic,141
South,Sorghum,Nitrogen,138
West,Cabbage,Nitrogen,136
South,Peas,Organic,115
Central,Millet,Nitrogen,97
Central,Barley,Organic,118
East,Tomato,Phosphorus,128
Central,Tomato,Nitrogen,78
Central,Barley,Potassium,138
West,Carrot,Nitrogen,91
East,Maize,Nitrogen,75
West,Barley,Organic,71
East,Sorghum,Potassium,134
Central,Cabbage,Potassium,144
South,Rice,Organic,106
West,Millet,Nitrogen,90
South,Millet,Phosphorus,91
North,Peas,Nitrogen,89
South,Millet,Organic,135
South,Millet,Phosphorus,148
South,Rice,Nitrogen,109
South,Cucumber,Nitrogen,88
West,Carrot,Organic,95
Central,Barley,Organic,98
North,Potato,Nitrogen,131
East,Sorghum,Phosphorus,80
East,Cabbage,Organic,71
East,Peas,Phosphorus,94
South,Barley,Potassium,117
North,Barley,Potassium,120
West,Spinach,Potassium,94
East,Cabbage,Potassium,81
West,Maize,Potassium,96
West,Tomato,Phosphorus,92
Central,Peas,Nitrogen,101
South,Millet,Nitrogen,142
West,Spinach,Nitrogen,128
South,Rice,Potassium,93
North,Rice,Phosphorus,147
West,Onion,Nitrogen,122
West,Onion,Phosphorus,135
Central,Cabbage,Potassium,113
West,Barley,Nitrogen,128
North,Millet,Phosphorus,84
Central,Potato,Potassium,98
North,Millet,Organic,87
West,Onion,Phosphorus,87
Central,Rice,Organic,120
North,Maize,Phosphorus,93
North,Barley,Phosphorus,147
North,Beetroot,Potassium,148
East,Carrot,Organic,97
South,Sorghum,Nitrogen,113
Central,Maize,Phosphorus,71
East,Sorghum,Phosphorus,102
West,Maize,Phosphorus,115
West,Cucumber,Potassium,138
Central,Potato,Phosphorus,148
Central,Cabbage,Potassium,102
East,Sorghum,Organic,90
West,Carrot,Phosphorus,136
West,Millet,Nitrogen,72
West,Rice,Potassium,110
Central,Cabbage,Phosphorus,90
South,Tomato,Phosphorus,94
South,Peas,Phosphorus,127
North,Peas,Organic,123
South,Onion,Organic,72
South,Sorghum,Phosphorus,110
East,Sorghum,Potassium,144
Central,Sorghum,Organic,130
North,Onion,Organic,113
Central,Millet,Phosphorus,145
West,Millet,Phosphorus,96
South,Cucumber,Phosphorus,91
South,Peas,Potassium,91
West,Spinach,Potassium,142
East,Potato,Potassium,100
North,Beetroot,Nitrogen,133
East,Peas,Nitrogen,110
West,Beetroot,Nitrogen,84
North,Beetroot,Phosphorus,123
Central,Cabbage,Nitrogen,127
North,Beetroot,Phosphorus,141
South,Tomato,Organic,105
South,Rice,Phosphorus,75
South,Tomato,Nitrogen,79
Central,Carrot,Potassium,136
North,Onion,Potassium,100
South,Millet,Phosphorus,145
North,Maize,Organic,134
Central,Spinach,Organic,103
South,Maize,Organic,98
South,Maize,Potassium,78
East,Sorghum,Potassium,128
West,Potato,Organic,142
Central,Barley,Phosphorus,124
East,Cabbage,Potassium,72
West,Beetroot,Potassium,107
South,Barley,Organic,126
South,Cucumber,Potassium,93
